2020-11-19T11:32:08.464Z,3Initializing Gyro
2020-11-19T11:32:08.496Z,Testing Gyro connections...
2020-11-19T11:32:08.528Z,Gyro connection successful
2020-11-19T11:32:08.560Z,Calibration ACCELERO...
2020-11-19T11:32:15.722Z,-0.06,0.57
2020-11-19T11:32:15.738Z,-0.05,0.56
2020-11-19T11:32:15.738Z,-0.05,0.56
2020-11-19T11:32:15.754Z,-0.05,0.56
2020-11-19T11:32:15.770Z,-0.06,0.57
2020-11-19T11:32:15.786Z,-0.06,0.57
2020-11-19T11:32:15.786Z,-0.05,0.57
2020-11-19T11:32:15.802Z,-0.06,0.56
2020-11-19T11:32:15.817Z,-0.05,0.57
2020-11-19T11:32:15.839Z,-0.05,0.56
2020-11-19T11:32:15.867Z,-0.05,0.57
2020-11-19T11:32:15.868Z,-0.06,0.56
2020-11-19T11:32:15.868Z,-0.05,0.56
2020-11-19T11:32:15.881Z,-0.06,0.56
2020-11-19T11:32:15.897Z,-0.05,0.57
2020-11-19T11:32:15.913Z,-0.05,0.57
2020-11-19T11:32:15.914Z,-0.05,0.57
2020-11-19T11:32:15.929Z,-0.05,0.56
2020-11-19T11:32:15.948Z,-0.05,0.56
2020-11-19T11:32:15.962Z,-0.06,0.57
2020-11-19T11:32:15.963Z,-0.06,0.56
2020-11-19T11:32:15.977Z,-0.05,0.56
2020-11-19T11:32:15.993Z,-0.05,0.56
2020-11-19T11:32:16.009Z,-0.05,0.56
2020-11-19T11:32:16.026Z,-0.05,0.57
2020-11-19T11:32:16.030Z,-0.06,0.56
2020-11-19T11:32:16.041Z,-0.05,0.57
2020-11-19T11:32:16.057Z,-0.05,0.57
2020-11-19T11:32:16.073Z,-0.06,0.57
2020-11-19T11:32:16.089Z,-0.06,0.56
2020-11-19T11:32:16.089Z,-0.05,0.56
2020-11-19T11:32:16.105Z,-0.05,0.56
2020-11-19T11:32:16.121Z,-0.05,0.56
2020-11-19T11:32:16.136Z,-0.05,0.57
2020-11-19T11:32:16.137Z,-0.05,0.57
2020-11-19T11:32:16.152Z,-0.05,0.57
2020-11-19T11:32:16.168Z,-0.06,0.56
2020-11-19T11:32:16.185Z,-0.05,0.56
2020-11-19T11:32:16.200Z,-0.05,0.57
2020-11-19T11:32:16.201Z,-0.05,0.55
2020-11-19T11:32:16.217Z,-0.05,0.56
2020-11-19T11:32:16.233Z,-0.05,0.56
2020-11-19T11:32:16.248Z,-0.05,0.56
2020-11-19T11:32:16.266Z,-0.06,0.56
2020-11-19T11:32:16.268Z,-0.05,0.57
2020-11-19T11:32:16.281Z,-0.05,0.57
2020-11-19T11:32:16.296Z,-0.05,0.57
2020-11-19T11:32:16.312Z,-0.05,0.57
2020-11-19T11:32:16.313Z,-0.05,0.56
2020-11-19T11:32:16.330Z,-0.05,0.56
2020-11-19T11:32:16.344Z,-0.05,0.57
2020-11-19T11:32:16.360Z,-0.05,0.56
2020-11-19T11:32:16.376Z,-0.05,0.56
2020-11-19T11:32:16.380Z,-0.05,0.57
2020-11-19T11:32:16.392Z,-0.06,0.57
