Data info
File name: E:\Werk\jumat cipeles\CIPELES 26-11-2020 - AKSELEROMETER\kalibrasi jumat\kal 1_0116.dxd
Start time: 11/27/2020 14:24:16.330
Number of channels: 1
Sample rate: 100
Store type: always fast


Data1

Time (s)	AI 8 (um/m)
8.93	1.1114972
8.94	0.95031279
8.95	1.4159565
8.96	1.5234127
8.97	0.85181123
8.98	0.86076593
8.99	1.4249113
9	1.2010441
9.01	1.1920893
9.02	1.3353643
9.03	1.1562706
9.04	1.3890924
9.05	1.6219143
9.06	1.7472799
9.07	1.6935518
9.08	1.604005
9.09	1.4338659
9.1	1.3622284
9.11	1.9711471
9.12	1.8995095
9.13	1.3532737
9.14	1.5234127
9.15	1.8189174
9.16	1.7830987
9.17	1.2995456
9.18	1.3532737
9.19	1.8189174
9.2	1.3801378
9.21	1.2458174
9.22	1.7651893
9.23	2.0786033
9.24	1.8905549
9.25	1.2458174
9.26	1.2189534
9.27	1.3801378
9.28	1.2726815
9.29	1.6845971
9.3	1.8995095
9.31	1.3264097
9.32	1.6398237
9.33	2.4815643
9.34	2.2935159
9.35	1.630869
9.36	1.5323675
9.37	1.9263737
9.38	1.6398237
9.39	1.0219502
9.4	1.5323675
9.41	1.9353284
9.42	1.8189174
9.43	1.9532378
9.44	1.8995095
9.45	1.5323675
9.46	1.2637268
9.47	2.3920174
9.48	2.7681143
9.49	1.604005
9.5	1.4338659
9.51	1.3532737
9.52	1.0846331
9.53	1.4786394
9.54	1.9890565
9.55	1.6756425
9.56	1.2547722
9.57	1.2726815
9.58	1.3532737
9.59	1.2995456
9.6	1.1114972
9.61	1.5234127
9.62	1.6487783
9.63	1.5860956
9.64	1.7562346
9.65	1.7383252
9.66	1.8010081
9.67	1.0219502
9.68	0.74435502
9.69	1.9263737
9.7	2.2397876
9.71	1.7114612
9.72	1.2010441
9.73	1.0756785
9.74	1.2637268
9.75	1.2726815
9.76	1.8099627
9.77	1.917419
9.78	1.5055034
9.79	1.6487783
9.8	1.3980471
9.81	1.2816362
9.82	1.5144581
9.83	1.5413221
9.84	1.8368268
9.85	1.9801018
9.86	2.3920174
9.87	2.4009721
9.88	1.6129596
9.89	0.78017378
9.9	1.0667237
9.91	1.7293706
9.92	1.5234127
9.93	1.5055034
9.94	1.4249113
9.95	1.4338659
9.96	1.3622284
9.97	1.4696846
9.98	1.7204158
9.99	1.7025065
10	1.8278722
10.01	1.8905549
10.02	2.1323314
10.03	2.0427847
10.04	1.5681862
10.05	1.9621924
10.06	2.087558
10.07	1.7293706
10.08	1.9801018
10.09	1.7472799
10.1	1.4696846
10.11	1.6935518
10.12	2.087558
10.13	1.8816003
10.14	1.4965487
10.15	2.0338299
10.16	1.8995095
10.17	1.3622284
10.18	1.6398237
10.19	1.5592315
10.2	1.2726815
10.21	1.8368268
10.22	1.7383252
10.23	0.76226437
10.24	1.2368628
10.25	1.9263737
10.26	1.8726455
10.27	1.8368268
10.28	1.5592315
10.29	1.9711471
10.3	2.1771049
10.31	1.5681862
10.32	0.92344874
10.33	1.2995456
10.34	2.1144221
10.35	1.7651893
10.36	1.4070019
10.37	1.2189534
10.38	1.1473159
10.39	1.8905549
10.4	2.2756064
10.41	1.5502769
10.42	0.65480816
10.43	0.86076593
10.44	1.8189174
10.45	2.0696487
10.46	2.1323314
10.47	2.1681502
10.48	1.630869
10.49	1.8995095
10.5	2.6696126
10.51	2.2218783
10.52	1.5950502
10.53	1.6845971
10.54	1.4159565
10.55	1.604005
10.56	2.3382893
10.57	2.5621564
10.58	2.2576971
10.59	1.7114612
10.6	1.5144581
10.61	1.5592315
10.62	1.6577331
10.63	1.1383612
10.64	1.2189534
10.65	1.8278722
10.66	1.5860956
10.67	1.8995095
10.68	2.2218783
10.69	1.6666877
10.7	1.2637268
10.71	1.6577331
10.72	2.087558
10.73	1.8905549
10.74	1.8726455
10.75	1.944283
10.76	1.5413221
10.77	1.5950502
10.78	1.5592315
10.79	1.3890924
10.8	2.3114252
10.81	2.6964767
10.82	1.9621924
10.83	1.8278722
10.84	2.1591954
10.85	2.4547002
10.86	2.7502048
10.87	2.5979753
10.88	2.1054673
10.89	1.9084643
10.9	1.8278722
10.91	1.8636909
10.92	2.1681502
10.93	2.1591954
10.94	2.2576971
10.95	2.3920174
10.96	2.4188814
10.97	2.2487423
10.98	2.1144221
10.99	2.7591596
11	2.6069298
11.01	1.7472799
11.02	1.9084643
11.03	2.3561985
11.04	2.3651533
11.05	1.8547362
11.06	1.7383252
11.07	1.8099627
11.08	1.3980471
11.09	1.6845971
11.1	1.8457814
11.11	1.9980111
11.12	2.0696487
11.13	1.5592315
11.14	1.7830987
11.15	2.2487423
11.16	2.1591954
11.17	1.8457814
11.18	1.944283
11.19	2.0338299
11.2	2.2308331
11.21	1.5771409
11.22	0.82494718
11.23	1.7383252
11.24	2.0786033
11.25	1.6935518
11.26	1.4786394
11.27	1.9801018
11.28	2.3561985
11.29	1.8010081
11.3	2.32038
11.31	2.5890205
11.32	1.630869
11.33	1.17418
11.34	1.1294066
11.35	1.630869
11.36	2.32038
11.37	2.7502048
11.38	2.6337938
11.39	2.0786033
11.4	2.0696487
11.41	2.1054673
11.42	1.7114612
11.43	1.604005
11.44	2.5352924
11.45	3.3859875
11.46	2.6158845
11.47	1.7293706
11.48	2.2487423
11.49	2.6427486
11.5	2.2935159
11.51	1.5502769
11.52	1.7920533
11.53	2.7770689
11.54	2.5711112
11.55	2.4815643
11.56	2.5890205
11.57	2.6158845
11.58	2.6696126
11.59	2.2666519
11.6	1.8547362
11.61	1.8816003
11.62	2.8666158
11.63	3.1263018
11.64	2.2487423
11.65	2.6606579
11.66	2.8039329
11.67	1.8457814
11.68	2.2487423
11.69	2.8039329
11.7	2.6427486
11.71	2.3651533
11.72	1.9084643
11.73	1.8010081
11.74	2.0696487
11.75	2.1233768
11.76	1.5771409
11.77	1.9711471
11.78	2.857661
11.79	2.3382893
11.8	1.9621924
11.81	2.714386
11.82	3.1531658
11.83	2.6696126
11.84	1.9353284
11.85	1.9263737
11.86	2.0517392
11.87	1.9801018
11.88	2.0965128
11.89	2.2756064
11.9	2.5621564
11.91	2.2576971
11.92	2.0696487
11.93	2.2129235
11.94	2.2935159
11.95	2.5979753
11.96	2.4994736
11.97	2.32038
11.98	2.4099267
11.99	2.6248393
12	2.32038
12.01	2.1144221
12.02	2.087558
12.03	1.3532737
12.04	2.0248752
12.05	3.000936
12.06	2.1233768
12.07	1.5502769
12.08	1.944283
12.09	1.7562346
12.1	1.487594
12.11	1.6487783
12.12	1.917419
12.13	2.4099267
12.14	2.4815643
12.15	2.3651533
12.16	2.1502409
12.17	2.1591954
12.18	2.4905188
12.19	2.2935159
12.2	2.1771049
12.21	2.4009721
12.22	2.2845612
12.23	2.5532017
12.24	2.6875219
12.25	2.0786033
12.26	2.3830626
12.27	3.000936
12.28	2.714386
12.29	2.1771049
12.3	2.1233768
12.31	2.1054673
12.32	2.1144221
12.33	2.1054673
12.34	2.2397876
12.35	2.8218424
12.36	2.3651533
12.37	1.8905549
12.38	2.060694
12.39	1.6398237
12.4	1.6935518
12.41	2.0159206
12.42	2.1681502
12.43	2.32038
12.44	1.8010081
12.45	1.6935518
12.46	2.3741081
12.47	2.5711112
12.48	2.5173831
12.49	2.6875219
12.5	2.7770689
12.51	2.7681143
12.52	2.7054315
12.53	2.6696126
12.54	2.32038
12.55	1.6666877
12.56	1.9711471
12.57	2.5890205
12.58	2.087558
12.59	1.8368268
12.6	2.347244
12.61	2.0965128
12.62	1.5413221
12.63	1.6756425
12.64	2.4278362
12.65	2.4457455
12.66	1.7741439
12.67	1.9890565
12.68	2.3114252
12.69	2.4726095
12.7	2.5979753
12.71	2.6248393
12.72	2.4009721
12.73	2.087558
12.74	2.4099267
12.75	2.6964767
12.76	2.6785674
12.77	2.6606579
12.78	2.5084283
12.79	2.5352924
12.8	2.4367907
12.81	2.3293345
12.82	2.3651533
12.83	2.5173831
12.84	3.0725737
12.85	2.6427486
12.86	1.9353284
12.87	2.1860595
12.88	2.1860595
12.89	2.0517392
12.9	2.4905188
12.91	2.5532017
12.92	2.830797
12.93	2.8218424
12.94	1.5592315
12.95	1.7025065
12.96	2.6964767
12.97	3.3233049
12.98	3.6904469
12.99	3.1889844
13	2.9113891
13.01	2.5979753
13.02	2.1054673
13.03	2.3830626
13.04	2.7502048
13.05	2.6248393
13.06	2.3920174
13.07	2.3293345
13.08	2.2218783
13.09	2.0965128
13.1	1.9711471
13.11	1.8099627
13.12	2.203969
